recipe_id,name,cuisine,category,ingredients,steps,calories,veg,health_tags,flavor_profile,season,suitable_for_diabetes,suitable_for_bp,suitable_for_heart_condition
3342,Gol Gappay,Pakistani,Snack,"Flour/Besan, Onion, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Gol Gappay specific chutneys.",264,yes,"savory, traditional",Savory,All,yes,yes,yes
3343,Ras Malai,Pakistani,Dessert,"2 cups Cream, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,497,yes,"sweet, traditional",Sweet,All,no,maybe,no
3344,Lacha Paratha,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Ghee, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Ghee.",264,yes,"savory, traditional",Savory,All,yes,yes,yes
3345,Mutton Biryani,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",773,no,"spicy, traditional",Spicy,All,no,maybe,no
3346,Sheermal,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Oil, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Oil.",322,yes,"sweet, traditional",Sweet,All,yes,yes,yes
3347,Kheer,Pakistani,Dessert,"2 cups Butter, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,456,yes,"sweet, traditional",Sweet,All,no,maybe,no
3348,Samosa,Pakistani,Snack,"Flour/Besan, Onion, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Samosa specific chutneys.",367,yes,"savory, traditional",Savory,All,yes,maybe,no
3349,Falooda,Pakistani,Drink,"Water/Milk, Tea leaves, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,124,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
3350,Sattu,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,52,yes,"sweet, traditional",Sweet,All,no,yes,yes
3351,Chaat,Pakistani,Snack,"Flour/Besan, Onion, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Chaat specific chutneys.",419,yes,"savory, traditional",Savory,All,no,maybe,no
3352,Falooda,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,112,yes,"sweet, traditional",Sweet,Summer,no,yes,yes
3353,Mutton Karahi,Pakistani,Main Course,"1kg Mutton, 2 Coriander Leaves, 1 tbsp Garam Masala, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,549,no,"spicy, traditional",Spicy,All,no,maybe,no
3354,Dahi Bhallay,Pakistani,Snack,"Flour/Besan, Green Chili, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Dahi Bhallay specific chutneys.",250,yes,"spicy, traditional",Spicy,All,yes,yes,yes
3355,Keema Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Butter, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Butter.",187,yes,"savory, traditional",Savory,All,yes,yes,yes
3356,Rooh Afza,Pakistani,Drink,"Water/Milk, Tea leaves, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,144,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
3357,Roti,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Oil, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Oil.",237,yes,"savory, traditional",Savory,All,yes,yes,yes
3358,Beef Tikka,Pakistani,Main Course,"1kg Beef, 2 Spinach, 1 tbsp Coriander powder, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,679,no,"spicy, traditional",Spicy,All,no,maybe,no
3359,Mutton Handi,Pakistani,Main Course,"1kg Mutton, 2 Onion, 1 tbsp Coriander powder, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,689,no,"spicy, traditional",Spicy,All,no,maybe,no
3360,Sheermal,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Oil, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Oil.",238,yes,"sweet, traditional",Sweet,All,yes,yes,yes
3361,Mutton Jalfrezi,Pakistani,Main Course,"1kg Mutton, 2 Onion, 1 tbsp Cumin, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,726,no,"spicy, traditional",Spicy,All,no,maybe,no
3362,Yakhni Pulao,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",705,yes,"spicy, traditional",Spicy,All,no,maybe,no
3363,Sugarcane Juice,Pakistani,Drink,"Water/Milk, Tea leaves, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,209,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
3364,Sugarcane Juice,Pakistani,Drink,"Water/Milk, Salt, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,177,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
3365,Lassi,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,281,yes,"sweet, traditional",Sweet,Summer,no,yes,yes
3366,Fish Sajji,Pakistani,Main Course,"1kg Fish, 2 Garlic, 1 tbsp Coriander powder, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,554,no,"spicy, traditional",Spicy,All,no,maybe,no
3367,Chicken Paaya,Pakistani,Main Course,"1kg Chicken, 2 Ginger, 1 tbsp Red chili, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,661,no,"spicy, traditional",Spicy,All,no,maybe,no
3368,Fish Qorma,Pakistani,Main Course,"1kg Fish, 2 Onion, 1 tbsp Red chili, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,510,no,"spicy, traditional",Spicy,All,no,maybe,no
3369,Shahi Tukray,Pakistani,Dessert,"2 cups Paneer, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,382,yes,"sweet, traditional",Sweet,All,no,maybe,no
3370,Gajar Ka Halwa,Pakistani,Dessert,"2 cups Ghee, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,528,yes,"sweet, traditional",Sweet,All,no,maybe,no
3371,Mutton Biryani,Pakistani,Rice,"500g Basmati Rice, Vegetables, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",351,no,"spicy, traditional",Spicy,All,yes,maybe,no
3372,Kulfi,Pakistani,Dessert,"2 cups Milk, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,470,yes,"sweet, traditional",Sweet,All,no,maybe,no
3373,Gulab Jamun,Pakistani,Dessert,"2 cups Cream, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,454,yes,"sweet, traditional",Sweet,All,no,maybe,no
3374,Chana Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",363,yes,"spicy, traditional",Spicy,All,no,maybe,no
3375,Ras Malai,Pakistani,Dessert,"2 cups Yogurt, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,314,yes,"sweet, traditional",Sweet,All,no,yes,yes
3376,Mutton Biryani,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",371,no,"spicy, traditional",Spicy,All,yes,maybe,no
3377,Dahi Bhallay,Pakistani,Snack,"Flour/Besan, Spinach, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Dahi Bhallay specific chutneys.",212,yes,"spicy, traditional",Spicy,All,yes,yes,yes
3378,Prawns Saag,Pakistani,Main Course,"1kg Prawns, 2 Potato, 1 tbsp Ajwain, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,638,no,"spicy, traditional",Spicy,All,no,maybe,no
3379,Chana Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",672,yes,"spicy, traditional",Spicy,All,no,maybe,no
3380,Prawns Haleem,Pakistani,Main Course,"1kg Prawns, 2 Onion, 1 tbsp Cumin, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,893,no,"spicy, traditional",Spicy,All,no,maybe,no
3381,Chicken Sajji,Pakistani,Main Course,"1kg Chicken, 2 Onion, 1 tbsp Cumin, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,905,no,"spicy, traditional",Spicy,All,no,maybe,no
3382,Kulfi,Pakistani,Dessert,"2 cups Paneer, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,486,yes,"sweet, traditional",Sweet,All,no,maybe,no
3383,Rooh Afza,Pakistani,Drink,"Water/Milk, Tea leaves, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,90,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
3384,Mutton Biryani,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",561,no,"spicy, traditional",Spicy,All,no,maybe,no
3385,Matar Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",365,yes,"spicy, traditional",Spicy,All,no,maybe,no
3386,Mutton Qorma,Pakistani,Main Course,"1kg Mutton, 2 Lemon, 1 tbsp Turmeric, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,781,no,"spicy, traditional",Spicy,All,no,maybe,no
3387,Beef Biryani,Pakistani,Rice,"500g Basmati Rice, Vegetables, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",360,no,"spicy, traditional",Spicy,All,yes,maybe,no
3388,Sattu,Pakistani,Drink,"Water/Milk, Tea leaves, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,138,yes,"sweet, traditional",Sweet,All,yes,yes,yes
3389,Roll Paratha,Pakistani,Snack,"Flour/Besan, Green Chili, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Roll Paratha specific chutneys.",339,no,"savory, traditional",Savory,All,yes,yes,no
3390,Beef Saag,Pakistani,Main Course,"1kg Beef, 2 Tomato, 1 tbsp Black pepper, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,660,no,"spicy, traditional",Spicy,All,no,maybe,no
3391,Doodh Patti,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,268,yes,"sweet, traditional",Sweet,Winter,no,yes,yes
3392,Sattu,Pakistani,Drink,"Water/Milk, Sugar, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,155,yes,"sweet, traditional",Sweet,All,no,yes,yes
3393,Taftan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Butter, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Butter.",301,yes,"sweet, traditional",Sweet,All,yes,yes,yes
3394,Mutton Haleem,Pakistani,Main Course,"1kg Mutton, 2 Spinach, 1 tbsp Ajwain, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,583,no,"spicy, traditional",Spicy,All,no,maybe,no
3395,Lemonade,Pakistani,Drink,"Water/Milk, Salt, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,149,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
3396,Roll Paratha,Pakistani,Snack,"Flour/Besan, Green Chili, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Roll Paratha specific chutneys.",350,no,"spicy, traditional",Spicy,All,yes,maybe,no
3397,Kheer,Pakistani,Dessert,"2 cups Butter, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,438,yes,"sweet, traditional",Sweet,All,no,maybe,no
3398,Doodh Patti,Pakistani,Drink,"Water/Milk, Tea leaves, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,134,yes,"sweet, traditional",Sweet,Winter,yes,yes,yes
3399,Plain Paratha,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Oil, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Oil.",184,yes,"savory, traditional",Savory,All,yes,yes,yes
3400,French Fries (Masala),Pakistani,Snack,"Flour/Besan, Onion, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with French Fries (Masala) specific chutneys.",320,yes,"savory, traditional",Savory,All,yes,yes,yes
3401,Prawns Tikka,Pakistani,Main Course,"1kg Prawns, 2 Onion, 1 tbsp Cumin, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,570,no,"spicy, traditional",Spicy,All,no,maybe,no
3402,Fish Kofta,Pakistani,Main Course,"1kg Fish, 2 Spinach, 1 tbsp Red chili, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,517,no,"spicy, traditional",Spicy,All,no,maybe,no
3403,Doodh Patti,Pakistani,Drink,"Water/Milk, Tea leaves, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,233,yes,"sweet, traditional",Sweet,Winter,yes,yes,yes
3404,Egg Fried Rice,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",623,yes,"savory, traditional",Savory,All,no,maybe,no
3405,Beef Qorma,Pakistani,Main Course,"1kg Beef, 2 Onion, 1 tbsp Black pepper, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,926,no,"spicy, traditional",Spicy,All,no,maybe,no
3406,Tandoori Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Butter, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Butter.",384,yes,"savory, traditional",Savory,All,yes,maybe,no
3407,Beef Biryani,Pakistani,Rice,"500g Basmati Rice, Meat, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",792,no,"spicy, traditional",Spicy,All,no,maybe,no
3408,Mutton Kofta,Pakistani,Main Course,"1kg Mutton, 2 Ginger, 1 tbsp Coriander powder, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,820,no,"spicy, traditional",Spicy,All,no,maybe,no
3409,Chaat,Pakistani,Snack,"Flour/Besan, Potato, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Chaat specific chutneys.",252,yes,"spicy, traditional",Spicy,All,yes,yes,yes
3410,Plain Boiled Rice,Pakistani,Rice,"500g Basmati Rice, Vegetables, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",498,yes,"savory, traditional",Savory,All,no,maybe,no
3411,Aloo Paratha,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Oil, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Oil.",296,yes,"savory, traditional",Savory,All,yes,yes,yes
3412,Fish Saag,Pakistani,Main Course,"1kg Fish, 2 Tomato, 1 tbsp Turmeric, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,675,no,"spicy, traditional",Spicy,All,no,maybe,no
3413,Lassi,Pakistani,Drink,"Water/Milk, Salt, Ice/Heat, Saffron",1. Mix base ingredients. 2. Boil if hot drink or blend with ice if cold. 3. Adjust sweetness and serve.,209,yes,"sweet, traditional",Sweet,Summer,yes,yes,yes
3414,Aloo Paratha,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Oil, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Oil.",184,yes,"savory, traditional",Savory,All,yes,yes,yes
